City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Max Temp K,Wind Speed
80,Khatanga,53,RU,1593139497,48,71.97,102.5,74,296.7,5.73
81,Jinka,5,ET,1593139497,80,5.65,36.65,61,289.31,1.72
82,Ippy,100,CF,1593139497,94,6.27,21.22,67,292.53,0.88
83,Mar del Plata,5,AR,1593139497,65,-38.0,-57.56,43,279.26,4.1
84,Mercedes,40,AR,1593139497,66,-34.65,-59.43,43,279.26,0.45
85,Corinth,0,GR,1593139498,45,37.94,22.96,76,297.59,0.45
86,Yulara,0,AU,1593139498,30,-25.24,130.99,59,288.15,6.2
87,Norton,48,ZW,1593139498,92,-17.88,30.7,51,283.47,1.94
88,Barrow,90,US,1593139325,81,71.29,-156.79,45,280.15,4.6
89,Itarema,96,BR,1593139498,77,-2.92,-39.92,78,298.49,4.03
90,Chui,0,UY,1593139498,80,-33.7,-53.46,45,280.31,4.31
91,Upernavik,1,GL,1593139499,90,72.79,-56.15,37,275.79,2.43
92,Mackenzie,90,CA,1593139499,44,55.3,-123.17,59,288.15,3.1
93,Butaritari,18,KI,1593139499,67,3.07,172.79,84,301.84,4.77
94,Batagay-Alyta,23,RU,1593139499,30,67.8,130.41,80,299.96,2.49
95,Salamanca,0,ES,1593139499,87,40.83,-6.0,59,288.15,2.6
96,Fortuna,1,US,1593139500,87,40.6,-124.16,61,289.26,4.1
97,Waitati,92,NZ,1593139500,83,-45.75,170.57,54,285.37,15.65
98,Hong Kong,100,HK,1593139456,62,22.29,114.16,90,305.37,7.15
99,Bambous Virieux,40,MU,1593139500,78,-20.34,57.76,73,295.93,6.2
100,Saint-Leu,7,RE,1593139500,73,-21.15,55.28,72,295.15,10.8
101,Usinsk,100,RU,1593139500,89,65.99,57.53,42,278.71,5.56
102,São Filipe,15,CV,1593139501,80,14.9,-24.5,74,296.53,3.24
103,Gobabis,0,NA,1593139501,60,-22.45,18.97,39,277.15,0.5
104,Makkah al Mukarramah,0,SA,1593139457,25,21.43,39.83,82,300.97,2.86
105,Marondera,7,ZW,1593139501,96,-18.19,31.55,45,280.44,0.36
106,Katsuura,75,JP,1593139502,88,35.13,140.3,82,300.93,10.8
107,Praia da Vitória,75,PT,1593139502,100,38.73,-27.07,66,292.15,6.42
108,Baculin,98,PH,1593139502,69,7.45,126.58,84,302.26,1.79
109,Saint-Augustin,100,CA,1593139502,95,51.23,-58.65,59,287.93,3.69
110,Lagoa,100,PT,1593139502,93,39.05,-27.98,66,292.09,6.42
111,Thompson,75,CA,1593139467,88,55.74,-97.86,64,291.15,2.1
112,Saint-Pierre,1,RE,1593139503,73,-21.34,55.48,72,295.15,10.8
113,Kaitangata,29,NZ,1593139503,71,-46.28,169.85,54,285.37,0.89
114,Cervo,38,ES,1593139503,83,43.67,-7.41,62,289.82,0.45
115,Tiksi,84,RU,1593139503,79,71.69,128.87,49,282.63,2.19
116,Mokobeng,32,BW,1593139503,74,-23.0,27.67,53,284.54,2.25
